read from src/date/medici.csv,3 6 2020 16:19
read from src/date/medici.csv,3 6 2020 16:19
read from src/date/angajati.csv,3 6 2020 16:19
read from src/date/pacienti.csv,3 6 2020 16:19
read from src/date/pacienti.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
write in src/date/out.csv,3 6 2020 16:19
write in src/date/out.csv,3 6 2020 16:19
read from src/date/medici.csv,3 6 2020 16:19
read from src/date/medici.csv,3 6 2020 16:19
read from src/date/angajati.csv,3 6 2020 16:19
read from src/date/pacienti.csv,3 6 2020 16:19
read from src/date/pacienti.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
read from src/date/programari.csv,3 6 2020 16:19
write in src/date/out.csv,3 6 2020 16:19
write in src/date/out.csv,3 6 2020 16:19
read from src/date/medici.csv,3 6 2020 16:31
read from src/date/medici.csv,3 6 2020 16:31
read from src/date/angajati.csv,3 6 2020 16:31
read from src/date/pacienti.csv,3 6 2020 16:31
read from src/date/pacienti.csv,3 6 2020 16:31
read from src/date/programari.csv,3 6 2020 16:31
read from src/date/programari.csv,3 6 2020 16:31
read from src/date/programari.csv,3 6 2020 16:31
read from src/date/programari.csv,3 6 2020 16:31
write in src/date/out.csv,3 6 2020 16:31
write in src/date/out.csv,3 6 2020 16:31
read from src/date/medici.csv,3 6 2020 16:35
read from src/date/medici.csv,3 6 2020 16:35
read from src/date/angajati.csv,3 6 2020 16:35
read from src/date/pacienti.csv,3 6 2020 16:35
read from src/date/pacienti.csv,3 6 2020 16:35
read from src/date/programari.csv,3 6 2020 16:35
read from src/date/programari.csv,3 6 2020 16:35
read from src/date/programari.csv,3 6 2020 16:35
read from src/date/programari.csv,3 6 2020 16:35
write in src/date/out.csv,3 6 2020 16:35
write in src/date/out.csv,3 6 2020 16:35
read from src/date/medici.csv,3 6 2020 16:39
read from src/date/medici.csv,3 6 2020 16:39
read from src/date/angajati.csv,3 6 2020 16:39
read from src/date/pacienti.csv,3 6 2020 16:39
read from src/date/pacienti.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
write in src/date/out.csv,3 6 2020 16:39
write in src/date/out.csv,3 6 2020 16:39
read from src/date/medici.csv,3 6 2020 16:39
read from src/date/medici.csv,3 6 2020 16:39
read from src/date/angajati.csv,3 6 2020 16:39
read from src/date/pacienti.csv,3 6 2020 16:39
read from src/date/pacienti.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
read from src/date/programari.csv,3 6 2020 16:39
write in src/date/out.csv,3 6 2020 16:39
write in src/date/out.csv,3 6 2020 16:39
read from src/date/medici.csv,3 6 2020 17:11
read from src/date/medici.csv,3 6 2020 17:11
read from src/date/angajati.csv,3 6 2020 17:11
read from src/date/pacienti.csv,3 6 2020 17:11
read from src/date/pacienti.csv,3 6 2020 17:11
read from src/date/programari.csv,3 6 2020 17:11
read from src/date/programari.csv,3 6 2020 17:11
read from src/date/programari.csv,3 6 2020 17:11
read from src/date/programari.csv,3 6 2020 17:11
write in src/date/out.csv,3 6 2020 17:11
write in src/date/out.csv,3 6 2020 17:11
read from src/date/medici.csv,3 6 2020 17:14
read from src/date/medici.csv,3 6 2020 17:14
read from src/date/angajati.csv,3 6 2020 17:14
read from src/date/pacienti.csv,3 6 2020 17:14
read from src/date/pacienti.csv,3 6 2020 17:14
read from src/date/programari.csv,3 6 2020 17:14
read from src/date/programari.csv,3 6 2020 17:14
read from src/date/programari.csv,3 6 2020 17:14
read from src/date/programari.csv,3 6 2020 17:14
write in src/date/out.csv,3 6 2020 17:14
write in src/date/out.csv,3 6 2020 17:14
read from src/date/medici.csv,3 6 2020 20:05
read from src/date/medici.csv,3 6 2020 20:05
read from src/date/angajati.csv,3 6 2020 20:05
read from src/date/pacienti.csv,3 6 2020 20:05
read from src/date/pacienti.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
write in src/date/out.csv,3 6 2020 20:05
write in src/date/out.csv,3 6 2020 20:05
read from src/date/medici.csv,3 6 2020 20:05
read from src/date/medici.csv,3 6 2020 20:05
read from src/date/angajati.csv,3 6 2020 20:05
read from src/date/pacienti.csv,3 6 2020 20:05
read from src/date/pacienti.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
read from src/date/programari.csv,3 6 2020 20:05
write in src/date/out.csv,3 6 2020 20:05
write in src/date/out.csv,3 6 2020 20:05
read from src/date/medici.csv,3 6 2020 20:07
read from src/date/medici.csv,3 6 2020 20:07
read from src/date/angajati.csv,3 6 2020 20:07
read from src/date/pacienti.csv,3 6 2020 20:07
read from src/date/pacienti.csv,3 6 2020 20:07
read from src/date/programari.csv,3 6 2020 20:07
read from src/date/programari.csv,3 6 2020 20:07
read from src/date/programari.csv,3 6 2020 20:07
read from src/date/programari.csv,3 6 2020 20:07
